rank,title,channel,view_count,like_count,comment_count,published_at,video_url,thumbnail,created_at,video_id
37,1월이 되면 꼭 들어야 하는 7080 노래 베스트 📻 50대 60대 마음을 울리는 추억의 노래 - 그집앞/바람바람바람/잊혀진 사랑/아득히먼곳/어느 60대 노부부 이야기,Retro Radio 7080,15981,263,7,2026-01-05T22:01:03Z,https://www.youtube.com/watch?v=tQVAny6In-s,https://i.ytimg.com/vi/tQVAny6In-s/maxresdefault.jpg,tQVAny6In-s,2026-01-08 15:38:30
38,상대 본진에 파일런 도배해서 건물 못 짓게 방해해 봤더니ㅋㅋㅋㅋ,[ALTUBE] 김성현TV,101538,955,114,2026-01-07T09:30:15Z,https://www.youtube.com/watch?v=Oielz65AOl0,https://i.ytimg.com/vi/Oielz65AOl0/maxresdefault.jpg,Oielz65AOl0,2026-01-08 15:38:30
39,Kim Cheolsu Story,Heo Hoy Kyung - Topic,61231,309,5,2025-12-20T02:04:42Z,https://www.youtube.com/watch?v=-obnQICeRCw,https://i.ytimg.com/vi/-obnQICeRCw/maxresdefault.jpg,-obnQICeRCw,2026-01-08 15:38:30
40,충격적인 MZ 일진 근황,가재맨,127891,1616,246,2026-01-07T15:00:07Z,https://www.youtube.com/watch?v=3j09E2lYNwI,https://i.ytimg.com/vi/3j09E2lYNwI/maxresdefault.jpg,3j09E2lYNwI,2026-01-08 15:38:30
41,I Love You,AKMU - Topic,119401,226,10,2025-12-31T15:02:04Z,https://www.youtube.com/watch?v=s4PO3Wgftu8,https://i.ytimg.com/vi/s4PO3Wgftu8/maxresdefault.jpg,s4PO3Wgftu8,2026-01-08 15:38:30
42,유정아 오빠 믿지?,클리드,60655,704,116,2026-01-08T00:59:09Z,https://www.youtube.com/watch?v=VpoQRTGFkbE,https://i.ytimg.com/vi/VpoQRTGFkbE/maxresdefault.jpg,VpoQRTGFkbE,2026-01-08 15:38:30
43,7080 노래모음 | 50대이상이 들으면 정말 좋아할 노래 추천곡 | 7080노래모음 주옥같은노래 | 아득히 먼 곳 - 구창모\이재성 - 그집앞\어느 60대 노부부 이야기,KR - Playlits Hits 7080,12479,111,3,2026-01-05T21:00:06Z,https://www.youtube.com/watch?v=KLwUTmHEFu4,https://i.ytimg.com/vi/KLwUTmHEFu4/maxresdefault.jpg,KLwUTmHEFu4,2026-01-08 15:38:30
44,NEW 승객과 함께하는 기차 마피아 *소름주의*,잠뜰 TV,253096,12509,949,2026-01-06T07:56:00Z,https://www.youtube.com/watch?v=6uqJdMfsQ0g,https://i.ytimg.com/vi/6uqJdMfsQ0g/maxresdefault.jpg,6uqJdMfsQ0g,2026-01-08 15:38:30
45,Talk To Me,Robyn - Topic,32143,756,27,2026-01-07T17:03:00Z,https://www.youtube.com/watch?v=6Zi66dIfk0I,https://i.ytimg.com/vi/6Zi66dIfk0I/maxresdefault.jpg,6Zi66dIfk0I,2026-01-08 15:38:30
46,즉사 아이템만 쓰는 어둠의 마리오 파티ㅋㅋㅋ,왈도쿤,117313,2830,131,2026-01-07T11:01:38Z,https://www.youtube.com/watch?v=prWHYJiw-SE,https://i.ytimg.com/vi/prWHYJiw-SE/maxresdefault.jpg,prWHYJiw-SE,2026-01-08 15:38:30
47,무지성 올인 거인,PAKA,266662,1928,223,2026-01-06T08:30:15Z,https://www.youtube.com/watch?v=urDIai6diM0,https://i.ytimg.com/vi/urDIai6diM0/maxresdefault.jpg,urDIai6diM0,2026-01-08 15:38:30
48,26.01.07(수) 【 인피쉰 생방송 다시보기 】 스타 빨무 스타크래프트 Starcraft,인피쉰,99849,3143,3,2026-01-07T16:10:11Z,https://www.youtube.com/watch?v=U7NP0-8fiEw,https://i.ytimg.com/vi/U7NP0-8fiEw/maxresdefault.jpg,U7NP0-8fiEw,2026-01-08 15:38:30
49,큰일은 실버가 한다 : 포켓몬 던【포켓몬스터 더스크 시리즈】#2,근가놈,90474,1145,225,2026-01-07T10:00:55Z,https://www.youtube.com/watch?v=_MLM3nOxb9w,https://i.ytimg.com/vi/_MLM3nOxb9w/maxresdefault.jpg,_MLM3nOxb9w,2026-01-08 15:38:30
50,【 탬탬버린 】 - 이세계를 지키는 용사들은 말투가 이상하다 ㅋㅋㅋㅋ (멋사공책RPG 2편),탬탬버린,161541,2430,120,2026-01-07T07:00:51Z,https://www.youtube.com/watch?v=uDYsQd9BQPI,https://i.ytimg.com/vi/uDYsQd9BQPI/maxresdefault.jpg,uDYsQd9BQPI,2026-01-08 15:38:30
