stop_id,name,district,ridership,dispatch_interval,dispatch_half,cai_normalized,lat,lon,pm25,pm10,o3,no2,so2,co,pm25_index,pm10_index,o3_index,no2_index,so2_index,co_index,cai,cai_grade,main_pollutant,priority_v1,priority_v2,pollution_exposure,priority_v4,ridership_log,cai_ridership,pollution_exposure_v2,total_exposure,is_high_traffic,is_high_pollution,is_long_wait
106000190,신내6단지아파트.옹기테마공원(00005),중랑구,5022,13.0,6.5,0.5333,37.61389708,127.0904185,18.4126,31.7324,0.0324,0.017,0.0027,0.4045,58.5,51.7,52.0,28.3,6.8,10.1,58.5,보통,초미세먼지,0.28653208401116936,0.2256314593500873,0.00021890590803024678,0.2788385008134032,8.521782643750045,0.293787,380.25,1.9096155,0,0,1
106000191,신내6단지(00007),중랑구,117285,11.25,5.625,0.5333,37.616207,127.091775,18.3874,31.7373,0.0324,0.017,0.0027,0.4051,58.5,51.7,52.0,28.3,6.8,10.1,58.5,보통,초미세먼지,0.2813592804825413,0.23099725405714525,0.004424176217143557,0.28138113657904956,11.672370675429878,6.8611725,329.0625,38.5940953125,0,0,0
106000192,신내6단지아파트.옹기테마공원(00116),중랑구,568,13.0,6.5,0.5333,37.613983,127.090082,18.4084,31.7296,0.0324,0.017,0.0027,0.4046,58.5,51.7,52.0,28.3,6.8,10.1,58.5,보통,초미세먼지,0.2861587241352516,0.22507141953621065,2.475877255300282e-05,0.2783904689623019,6.343880434126331,0.033228,380.25,0.215982,0,0,1
106000193,신내우체국.5단지두산대림아파트(00006),중랑구,81484,11.25,5.625,0.5259,37.6165664,127.0900173,18.3682,31.7242,0.0325,0.017,0.0027,0.4054,58.4,51.7,52.1,28.3,6.8,10.1,58.4,보통,초미세먼지,0.2758890991215332,0.2242734634971146,0.003031015358637142,0.27481691894583987,11.308174233210089,4.7586656,328.5,26.767493999999996,0,0,0
106000194,신내우체국.5단지두산대림아파트(00020),중랑구,37675,12.8,6.4,0.5259,37.616633,127.08977,18.3652,31.7223,0.0325,0.017,0.0027,0.4055,58.4,51.7,52.1,28.3,6.8,10.1,58.4,보통,초미세먼지,0.28513344364987886,0.22651498028963307,0.0015945072751015062,0.27816013237985465,10.536778565942708,2.20022,373.76,14.081408,0,0,1
106000195,구립도서관체육관(00014),중랑구,122577,10.6666666666666,5.33333333333333,0.5259,37.61560976,127.0870834,18.3567,31.7019,0.0325,0.017,0.0027,0.4057,58.4,51.7,52.0,28.3,6.8,10.1,58.4,보통,초미세먼지,0.27447263942063516,0.22652377394576756,0.0043231567852271,0.27603383397142894,11.716502841031271,7.1584968,311.46666666666647,38.17864959999998,0,0,0
106000196,구립도서관체육관(00021),중랑구,49785,12.75,6.375,0.5259,37.6157123,127.0871347,18.3557,31.7021,0.0325,0.017,0.0027,0.4057,58.4,51.7,52.1,28.3,6.8,10.1,58.4,보통,초미세먼지,0.28573190677606447,0.22778767497891156,0.0020988044227134585,0.27912828813127744,10.815489098991852,2.907444,372.3,18.5349555,0,0,1
106000197,신내4단지아파트(00013),중랑구,107705,10.75,5.375,0.5185,37.61659277,127.086081,18.3332,31.6919,0.0325,0.017,0.0027,0.4061,58.3,51.7,52.1,28.3,6.8,10.2,58.3,보통,초미세먼지,0.27145129155730086,0.22284823363224754,0.0037743945380410127,0.271991549868761,11.587160571899124,6.2792015,313.3625,33.7507080625,0,0,0
106000198,신내4단지아파트(00022),중랑구,55767,12.4,6.2,0.5185,37.61652713,127.0862463,18.3357,31.6934,0.0325,0.017,0.0027,0.4061,58.3,51.7,52.1,28.3,6.8,10.2,58.3,보통,초미세먼지,0.28084754992384386,0.22456762118206203,0.002254249245854684,0.2750170599086126,10.928955507166235,3.2512160999999997,361.46,20.157539819999997,0,0,1
106000199,화랑대역6번출구(00016),중랑구,169297,15.8,7.9,0.5111,37.61964031,127.0858733,18.2918,31.6924,0.0326,0.017,0.0027,0.4066,58.2,51.7,52.2,28.3,6.8,10.2,58.2,보통,초미세먼지,0.3162284844805154,0.2536205044985508,0.008595286668266628,0.30047418137661847,12.039415754702365,9.853085400000001,459.78000000000003,77.83937466,0,0,1
106000200,화랑대역5번출구(00026),중랑구,90843,17.0,8.5,0.5111,37.61985182,127.086185,18.2921,31.6957,0.0326,0.017,0.0027,0.4066,58.2,51.7,52.2,28.3,6.8,10.2,58.2,보통,초미세먼지,0.31965201934687076,0.2497558067980838,0.004962430138574861,0.2985824232162449,11.416899028715484,5.2870626000000005,494.70000000000005,44.9400321,0,0,1
