NODE_ID,정류소명,자치구,노선목록,버스수,승차총승객수,avg_caralc,평균배차간격
108000041,광산사거리,강북구,"1119, 1126, 1165, 120, 1218, 163",6,164164.0,32.0,16.0
108000042,우이초등학교후문,강북구,"1165, 151",2,72123.0,30.0,15.0
108000043,우이초등학교후문,강북구,"1165, 151",2,43561.0,30.0,15.0
108000044,인수동청수탕입구,강북구,"1165, 151",2,118061.0,30.0,15.0
108000045,인수동청수탕입구,강북구,"1165, 151",2,61337.0,30.0,15.0
108000046,우이초등학교,강북구,"104, 109, 1120, 1218, 144",5,322532.0,44.0,22.0
108000047,우이초등학교,강북구,"104, 109, 1120, 1218, 144",5,81674.0,44.0,22.0
108000048,화계사입구.한신대학교대학원,강북구,151,1,41238.0,28.0,14.0
108000049,화계사입구.한신대학교대학원,강북구,"1165, 121, 151",3,179537.0,30.666666666666668,15.333333333333334
108000050,수유동삼양탕앞,강북구,"1165, 121, 151, 강북02",4,28603.0,31.0,15.5
108000051,수유동삼양탕앞,강북구,"1165, 121, 151",3,79426.0,30.666666666666668,15.333333333333334
108000052,화계사입구사거리,강북구,"1165, 121, 151",3,58052.0,30.666666666666668,15.333333333333334
108000053,화계사입구사거리,강북구,"1165, 121, 151",3,100409.0,30.666666666666668,15.333333333333334
108000054,강북노인종합복지관,강북구,"1120, 1128, 1165, 1218, 151, 강북02",6,102548.0,41.333333333333336,20.666666666666668
108000055,강북노인종합복지관,강북구,"1120, 1128, 1165, 1218, 151, 강북02",6,255740.0,41.333333333333336,20.666666666666668
108000056,신일병원,강북구,"1120, 1128, 1165, 1218, 151, 강북02, 강북03",7,275351.0,40.0,20.0
108000057,신일병원,강북구,"1120, 1128, 1165, 1218, 151, 강북02, 강북03",7,208364.0,40.0,20.0
108000058,강북구청,강북구,"1119, 1126, 1128, 1165, 120, 1218, 163",7,491460.0,38.857142857142854,19.428571428571427
108000059,강북구청,강북구,"1126, 1128, 1165, 120, 1218, 163, 710, 강북01",8,734320.0,35.0,17.5
108000060,강북경찰서입구,강북구,"102, 1124, 1133, 강북09, 강북11",5,51504.0,46.8,23.4
108000061,강북경찰서입구,강북구,"102, 강북09, 강북11",3,72954.0,41.333333333333336,20.666666666666668
108000062,북부시장입구,강북구,"102, 1124, 1133, 강북09, 강북11",5,191694.0,46.8,23.4
108000063,북부시장입구,강북구,"102, 강북09, 강북11",3,95016.0,41.333333333333336,20.666666666666668
108000064,번동사거리,강북구,"102, 1133",2,34539.0,46.0,23.0
108000065,번동사거리,강북구,"102, 1133, 노원14",3,123255.0,41.333333333333336,20.666666666666668
108000066,북부수도사업소,강북구,"1111, 1124, 1218, 145, 노원14",5,285176.0,41.8,20.9
108000067,북부수도사업소,강북구,"1218, 148, 노원14",3,264815.0,51.0,25.5
108000068,수유보건지소,강북구,"104, 109, 1128, 121, 144",5,162332.0,38.4,19.2
108000069,수유보건지소,강북구,"104, 109, 1128, 121, 144",5,45179.0,38.4,19.2
108000070,빨래골입구.수유1동주민센터,강북구,"104, 109, 1128, 121, 144",5,384921.0,38.4,19.2
108000071,빨래골입구.서울수유초등학교,강북구,"104, 109, 1128, 121, 144",5,136099.0,38.4,19.2
108000072,롯데마트삼양점.래미안1차아파트,강북구,"104, 109, 1128, 121, 144",5,355719.0,38.4,19.2
108000073,롯데마트삼양점.래미안1차아파트,강북구,"104, 109, 1128, 121, 144",5,275258.0,38.4,19.2
108000074,삼양초등학교,강북구,"104, 109, 1128, 121, 144",5,134740.0,38.4,19.2
108000075,삼양초등학교,강북구,"104, 109, 1128, 121, 144",5,78478.0,38.4,19.2
108000076,삼양사거리역,강북구,"104, 109, 1128, 121, 144",5,173549.0,38.4,19.2
108000077,삼양사거리역,강북구,"104, 109, 1128, 121, 144",5,129565.0,38.4,19.2
108000078,삼양동사거리.래미안트리베라,강북구,"104, 109, 1115, 121, 152, 강북08",6,456671.0,37.333333333333336,18.666666666666668
108000079,삼양동사거리.래미안트리베라,강북구,"104, 109, 121, 152",4,189146.0,35.0,17.5
108000080,송천초등학교.미아뉴타운입구,강북구,"104, 109, 1115, 121, 152",5,259800.0,38.4,19.2
108000081,송천초등학교.미아뉴타운입구,강북구,"104, 109, 121, 152",4,117940.0,35.0,17.5
108000082,삼양동사거리,강북구,"1112, 1115, 1116, 1128, 1165, 144, 강북08, 강북12",8,131498.0,41.75,20.875
108000083,삼양동사거리,강북구,"1112, 1116, 1128, 1165, 144, 강북08, 강북12",7,376553.0,40.285714285714285,20.142857142857142
108000084,성암국제무역고.성암여중,강북구,"1112, 1115, 1116, 1128, 1165, 144, 강북08, 강북12",8,110381.0,41.75,20.875
108000085,성암국제무역고.성암여중,강북구,"1112, 1116, 1128, 1165, 144, 강북08, 강북12",7,185431.0,40.285714285714285,20.142857142857142
108000086,삼양입구사거리,강북구,"1112, 1115, 1116, 1128, 1165, 144, 강북08, 강북12",8,186837.0,41.75,20.875
108000087,삼양입구사거리,강북구,"1112, 1116, 1128, 1165, 144, 강북08, 강북12",7,52249.0,40.285714285714285,20.142857142857142
108000088,강북보건소,강북구,"1111, 1124, 1218, 145, 강북06",5,183192.0,40.2,20.1
108000089,신창교.강북소방서,강북구,"1124, 노원14",2,62649.0,47.0,23.5
108000091,강북보건소,강북구,"1111, 1218, 145, 강북05",4,59685.0,38.75,19.375
108000092,번동주공4단지,강북구,"1111, 1124, 1218, 145",4,55512.0,44.25,22.125
108000093,초안교,강북구,"1111, 1124, 1218, 145, 강북05",5,61775.0,43.4,21.7
108000094,번동주공3단지,강북구,"1111, 1218, 145",3,190586.0,38.333333333333336,19.166666666666668
108000095,번동주공3단지,강북구,"1111, 1218, 145",3,57586.0,38.333333333333336,19.166666666666668
108000096,번동주공1단지,강북구,"1111, 1218, 145",3,97161.0,38.333333333333336,19.166666666666668
108000097,번동주공1단지,강북구,"1111, 1218, 145",3,41436.0,38.333333333333336,19.166666666666668
108000098,오현초등학교,강북구,"100, 111, 147, N51, 강북09, 성북14-1",6,389398.0,64.0,32.0
108000099,북서울꿈의숲,강북구,"100, 111, 강북09, 강북11",4,229396.0,52.0,26.0
108000100,송중동한일유엔아이,강북구,"100, 111, 강북09, 강북11",4,55892.0,52.0,26.0
108000101,창문여고앞,강북구,"100, 103, 111, 1137, 172",5,327467.0,49.6,24.8
108000102,숭곡초등학교입구,강북구,"100, 103, 111, 1113, 1124, 1137, 120, 172, 강북09, 강북11",10,319747.0,47.4,23.7
108000106,강북청소년센터,강북구,"104, 1119, 1126",3,272291.0,32.0,16.0
108000107,강북청소년센터,강북구,"104, 1119, 1126, 강북01",4,10797.0,33.0,16.5
108000108,국립4.19민주묘지,강북구,"104, 1119, 1126, 강북01",4,155916.0,33.0,16.5
108000109,국립4.19민주묘지,강북구,"104, 1119, 1126, 강북01",4,14028.0,33.0,16.5
108000110,강북중학교,강북구,"1119, 1128",2,75304.0,40.0,20.0
108000111,한성운수차고지,강북구,"1111, 1124, 1218, 145",4,17632.0,44.25,22.125
108000112,광산사거리,강북구,1128,1,13326.0,48.0,24.0
108000113,광산사거리,강북구,"1119, 1128",2,106828.0,40.0,20.0
108000115,수유중앙시장,강북구,"1119, 도봉02, 도봉03, 도봉04",4,86589.0,45.0,22.5
108000117,대한병원,강북구,"1119, 도봉02, 도봉03, 도봉04",4,182807.0,45.0,22.5
108000118,삼성화재강북지점,강북구,"1124, 1127, 1138, 강북01, 강북09, 강북11",6,123378.0,54.333333333333336,27.166666666666668
108000119,강북구청사거리.번1동주민센터,강북구,"1124, 1133, 1218, 148",4,144441.0,57.75,28.875
108000120,강북구청사거리.번1동주민센터,강북구,"1218, 148",2,48275.0,60.5,30.25
108000121,수송초등학교,강북구,"1124, 1133, 1218, 148",4,55204.0,57.75,28.875
108000122,수송초등학교,강북구,"1218, 148",2,167651.0,60.5,30.25
108000123,수유중학교혜화여고,강북구,"1115, 1165, 152",3,187152.0,37.333333333333336,18.666666666666668
