설치장소
홍대입구역(중)
홍대입구역(중)
합정역(중)
합정역(중)
숭례문(중)
건대입구역사거리.건대병원
강서세무서(중)
강서세무서(중)
구파발역2번출구
독립문공원.극동아파트
천호역(중)
천호역(중)
송파구청.방이맛골
약수역7번출구.양수동주민센터
명동입구
약수역8번출구.신당사회복지관
손기정체육공원입구
버티고개
신당파인힐하나유보라
황학동롯데캐슬
서소문
퇴계로3가·한옥마을·한국의집
을지로입구·로얄호텔
서울신문사
을지로입구·시청입구
을지로4가·베스트웨스턴국도
서울광장
시청앞
동대문역사문화공원
동대문역사문화공원
명동역4번출구
광나루지구대앞
광진문화예술회관앞
광진구청앞
구의역2번출구앞
길음뉴타운10단지
수유역6번출구앞
미아사거리역1번출구앞
목동대학학원
신정네거리분수광장
신한은행신월동지점
방화근린공원
한글어린이공원
양천향교역7번출구
우장산근린공원
화곡역6번출구
우장산역1번출구
마곡나루역4번출구
숭실대입구역
남성역
상도노빌리티역
성대시장
신대방삼거리
사당롯데캐슬골드포레
상계주공10단지
청량리역환승센터1번
동대문구청용두역3번출구
동대문중학교
청량리역환승센터5번
성동구청
센트라스
상왕십리역
성동세무서
한양대정문
금호역
옥수파출소
신금호역
응봉주민센터
성수동이마트
무학여고앞
마장축산물(도선사거리)
마장축산물(동대문)
용답동부시장답십리역
행당역대림아파트정문
서울숲(구민종합체육센터)
화양사거리(성수초)
상왕십리역(왕십리2동주민센터)
뚝섬역3번5번출구
송정동건영아파트
왕십리역4번출구
성동교남단
응봉사거리
코스모타워신용보증재단
응봉현대아파트
행당역대림아파트정문
선동구민종합체육센터
장미소공원
마장역
성동노인복지관
성동사회복지관청계천박물관
성동구도시관리공단
한양대앞한양시장
광희중학교응봉역
논골신협대림아파트후문
삼성래미안아파트
"금호역(2번출구옆,금호터널입구방면)"
금호역(마을버스 정문)
힐스테이트서울숲러버
서울숲(똑도아피수정수센터)
뚝섬역4번출구
상원
뚝섬역2번출구
성수사거리
제인병원
군자교남단
신답역
청계벽산아파트텐즈힐아파트
황학교텐즈힐몰버스정류장
청계벽산아파트.텐즈힐아파트 
상왕십리역센트라스아파트 버스정류장
성동세무서앞
뚝섬역8번출구
신계역사공원
용산역광장앞
이촌동한가람아파트이촌역
한강진역블루스퀘어
효창공원앞역이봉창역사울림관
순천향대학병원한남오거리
불광초(불광역)
역촌중앙시장(구산역)
수국사입구
로데오거리(연신내역)
역촌오거리(역촌역)
은평세무서
서부병원
신사오거리(응암역)
증산역
구산역4번출구(구산역)
응암2동주민센터
한양아파트압구정로데오역
강남구청강남세무서
포스코사거리
선릉역
서울상록회관한국기술센터
아가방빌딩하나은행
역삼역포스코타워역삼
한국자산신탁센터필드
선릉역
포스코건너편
한국무역센터삼성역
신사역8번출구가로수길
신사동고개
신사동교회
도산공원사거리
씨네시티앞
농협앞
청담동주민센터
청담동주민센터
차병원차움
영동119안전센터
제일은행호림아트센터앞
언북중학교입구
신사동고개
신사역1번출구
영동시장
논현동사거리학동역
세관앞
강남구청역
강남구청역
강남구청강남세무서
면목역
상봉역
사가정역
사가정역
연세로명물거리
DMC파크뷰자이
DMC센트레빌
DMC센트레빌
DMC파크뷰자이
신촌전철역
신도림역
온수역
강동구청역1번출구영파여고
천호역5번출구천호사거리
천호역2번출구현대백화점
상일동4번출구센트럴푸르지오
강동아트센터강동경희대병원
상일동역1번출구
명일초등학교
구의어린이공원
긴고랑어린이공원
무궁화어린이공원
구둘어린이공원
개나리어린이공원
가중나무어린이공원
양원리
양원리
