NODE_ID,avg_headway_min,표준버스정류장ID,역명,자치구,승차총승객수,wait_exposure
100000066,0.41501976284584985,100000066,벽산평창힐스아파트(00037),종로구,44375.0,18416.501976284588
100000067,0.41501976284584985,100000067,예능교회(00036),종로구,112938.0,46871.50197628459
100000068,0.41501976284584985,100000068,서울예술고등학교.평창동주민센터(00035),종로구,96532.0,40062.687747035576
100000069,0.3736654804270463,100000069,화정박물관(00034),종로구,69176.0,25848.683274021354
100000072,1.2133526850507983,100000072,독립문역.서대문형무소역사관(00021),종로구,169730.0,205942.351233672
100000073,0.40089086859688194,100000073,금화초등학교.서울시교육청(00011),종로구,273747.0,109742.67260579063
100000075,2.25,100000075,독립문(00066),종로구,136893.0,308009.25
100000076,0.26665181554912004,100000076,창덕궁.우리소리박물관(00033),종로구,547311.0,145941.47182000443
100000077,2.5,100000077,서린동.SK서린빌딩(00030),종로구,92358.0,230895.0
100000078,2.75,100000078,청계1가.광교(00035),종로구,14760.0,40590.0
100000079,2.75,100000079,청계2가.수표교(00033),종로구,18932.0,52063.0
100000080,2.75,100000080,청계4가.세운교(00031),종로구,5554.0,15273.5
100000081,2.75,100000081,청계5가.광장시장(00030),종로구,32837.0,90301.75
100000102,0.16943154795606385,100000102,원남동(00027),종로구,703110.0,119129.01568338806
100000103,0.2482629886964638,100000103,창덕궁.우리소리박물관(00032),종로구,738787.0,183413.4686300944
100000104,0.23161764705882354,100000104,안국역6번출구.인사동문화의거리(00017),종로구,1179954.0,273298.16911764705
100000105,0.35812885721952237,100000105,조계사.종로경찰서(00033),종로구,546783.0,195818.7709370621
100000106,0.3959773727215588,100000106,조계사.종로경찰서(00019),종로구,419131.0,165966.39220615965
100000107,0.8256880733944955,100000107,안국동사거리(00018),종로구,137904.0,113865.6880733945
100000108,0.20339595710565095,100000108,효제동.김상옥의거터(00063),종로구,158634.0,32265.51425949783
100000109,0.22470126864831103,100000109,종로5가.효제초등학교(00062),종로구,497185.0,111718.10025291052
100000116,0.7913669064748201,100000116,종로5가역6번출구(00034),종로구,268087.0,212155.1798561151
100000117,2.75,100000117,청계5가.마전교(00029),종로구,17697.0,48666.75
100000118,0.8102659533224781,100000118,동대문(00029),종로구,188555.0,152779.69682871987
100000119,0.6119341804766646,100000119,충신동(00028),종로구,159870.0,97829.91743280437
100000121,0.9433962264150942,100000121,충신동(00037),종로구,90724.0,85588.67924528301
100000122,0.4039180077427588,100000122,현대그룹빌딩(00026),종로구,231968.0,93696.05242007227
100000123,0.1258940803106133,100000123,방송통신대.이화장(00064),종로구,750985.0,94544.56590206594
100000124,0.1258940803106133,100000124,혜화역2번출구.마로니에공원(00065),종로구,1058572.0,133267.94838256654
100000125,0.3496503496503497,100000125,혜화역3번출구.서울대병원입구(00025),종로구,1060609.0,370842.30769230775
100000126,0.6165590135055784,100000126,방송통신대.이화장(00037),종로구,185491.0,114366.14797416325
100000127,0.4825250937235458,100000127,현대그룹빌딩(00038),종로구,397516.0,191811.44515660903
100000128,0.4139290407358739,100000128,창경궁.서울대학교병원(00033),종로구,322683.0,133567.864651774
100000129,0.7415930818438954,100000129,이화동(이화장)(00027),종로구,141134.0,104663.99801295633
100000130,1.3846153846153846,100000130,혜화동로터리(00050),종로구,148220.0,205227.6923076923
100000131,0.4139290407358739,100000131,명륜동2가.성균관대입구(00034),종로구,596826.0,247043.61366622866
100000132,0.6165590135055784,100000132,혜화역.서울연극센터(장면총리가옥)(00024),종로구,374305.0,230781.1215502055
100000133,0.15038646821028567,100000133,혜화역.동성중고(장면총리가옥)(00066),종로구,1251875.0,188265.05989075138
100000135,1.125,100000135,종로구민회관.창신동두산아파트(00011),종로구,142746.0,160589.25
100000139,2.25,100000139,동묘앞역6번출구(00028),종로구,82570.0,185782.5
100000140,2.25,100000140,동묘앞역5번출구(00080),종로구,65925.0,148331.25
100000142,1.125,100000142,창신3동주민센터(00009),종로구,103469.0,116402.625
100000143,0.72,100000143,숭인1동주민센터.창신역4번출구(00021),종로구,381889.0,274960.08
100000144,0.72,100000144,동묘앞역.롯데캐슬천지인(00020),종로구,754733.0,543407.76
100000147,0.3434093161546085,100000147,신설동역오거리(00031),종로구,324445.0,111417.43557978196
100000150,1.3636363636363635,100000150,구기동현대빌라(00028),종로구,17096.0,23312.727272727272
