stop_id,name,district,ridership,dispatch_interval,dispatch_half,cai_normalized,lat,lon,pm25,pm10,o3,no2,so2,co,pm25_index,pm10_index,o3_index,no2_index,so2_index,co_index,cai,cai_grade,main_pollutant,priority_v1,priority_v2,pollution_exposure,priority_v4
102000148,효창공원역(00012),용산구,46780,8.0,4.0,0.5926,37.53878602,126.9610379,18.7043,31.6831,0.0325,0.0183,0.0028,0.4011,59.3,51.7,52.1,30.5,6.9,10.0,59.3,보통,초미세먼지,0.26811889929604166,0.2236598304255439,0.0013942643313223444,0.28174267915525
102000149,도원삼성래미안아파트(00029),용산구,40211,7.0,3.5,0.5926,37.5397768,126.9574339,18.7038,31.6343,0.0327,0.0183,0.0028,0.4008,59.3,51.6,52.2,30.4,6.9,10.0,59.3,보통,초미세먼지,0.2592349146324649,0.2178338534301789,0.0010486675427202317,0.27608189755895796
102000150,도원삼성래미안아파트(00018),용산구,85956,9.0,4.5,0.5926,37.53962541,126.9572103,18.7036,31.6408,0.0327,0.0182,0.0028,0.4007,59.3,51.6,52.2,30.4,6.9,10.0,59.3,보통,초미세먼지,0.27973619008311423,0.23358576660615285,0.0028821303542333554,0.29068342809973713
102000151,중앙하이츠빌라앞(00028),용산구,35234,7.0,3.5,0.5926,37.538013,126.960035,18.7023,31.7131,0.0325,0.0183,0.0027,0.4007,59.3,51.7,52.1,30.5,6.9,10.0,59.3,보통,초미세먼지,0.25881771389100944,0.21720805231799564,0.0009188717564896331,0.27558125666921135
102000152,중앙하이츠빌라앞(00037),용산구,47094,7.0,3.5,0.5926,37.537972,126.959878,18.7022,31.7142,0.0326,0.0183,0.0027,0.4007,59.3,51.7,52.1,30.4,6.9,10.0,59.3,보통,초미세먼지,0.25981188724718024,0.21869931235225187,0.0012281701339649992,0.2767742646966163
102000153,용문시장(00013),용산구,189797,7.5,3.75,0.5852,37.536348,126.960969,18.6992,31.7878,0.0325,0.0183,0.0027,0.4005,59.2,51.8,52.1,30.5,6.8,10.0,59.2,보통,초미세먼지,0.2734716036464238,0.23692036843259864,0.005237000603573322,0.2906659243757086
102000154,용문시장(00025),용산구,75696,7.0,3.5,0.5852,37.5359792,126.9613596,18.6984,31.8057,0.0325,0.0183,0.0027,0.4004,59.2,51.8,52.1,30.5,6.8,10.0,59.2,보통,초미세먼지,0.2597403354525694,0.220073466141817,0.0019494090941490844,0.2766884025430833
102000155,용산전자상가입구(00024),용산구,19669,12.0,6.0,0.5852,37.53457017,126.9622225,18.6953,31.8695,0.0324,0.0183,0.0027,0.4002,59.2,51.9,52.0,30.5,6.8,10.0,59.2,보통,초미세먼지,0.2967104970074163,0.23802870847408733,0.0008683514691733477,0.2960525964088996
102000156,용산전자상가입구(00020),용산구,79850,12.0,6.0,0.5852,37.534658,126.961938,18.6956,31.8631,0.0324,0.0183,0.0027,0.4002,59.2,51.9,52.0,30.5,6.8,10.0,59.2,보통,초미세먼지,0.3017552142711361,0.24559578436966695,0.003525235894732412,0.30210625712536326
102000157,신용산지하차도(00023),용산구,22634,12.0,6.0,0.5852,37.53283488,126.9636682,18.6909,31.9532,0.0323,0.0183,0.0027,0.4,59.2,52.0,51.9,30.5,6.8,10.0,59.2,보통,초미세먼지,0.29695904034645904,0.2384015234826514,0.0009992509610691723,0.2963508484157508
102000158,신용산지하차도(00001),용산구,141416,11.6666666666666,5.83333333333333,0.5852,37.53259,126.963882,18.6903,31.9653,0.0323,0.0183,0.0027,0.3999,59.2,52.0,51.9,30.5,6.8,10.0,59.2,보통,초미세먼지,0.3041382524162935,0.2516703415874032,0.006069841569307641,0.3066325695662189
102000159,신용산역5번출구(00040),용산구,3725,12.0,6.0,0.5852,37.53003386,126.9676785,18.6829,32.1265,0.0321,0.0183,0.0027,0.3999,59.2,52.1,51.8,30.5,6.8,10.0,59.2,보통,초미세먼지,0.29537397930161635,0.2360239319153874,0.00016445214411870047,0.2944487751619396
102000161,용산역(00002),용산구,764978,11.5,5.75,0.5852,37.528869,126.965822,18.6819,32.1289,0.0322,0.0183,0.0027,0.399,59.2,52.1,51.8,30.4,6.8,10.0,59.2,보통,초미세먼지,0.3550199138073869,0.32924283367404317,0.032365237840979985,0.36852389656886425
102000162,용산푸르지오써밋(00003),용산구,112452,11.5,5.75,0.5852,37.527574,126.964759,18.6805,32.1482,0.0322,0.0182,0.0027,0.3982,59.2,52.1,51.9,30.4,6.7,10.0,59.2,보통,초미세먼지,0.3003214345992317,0.24719511486181042,0.004757699862863876,0.30288572151907805
102000163,용산푸르지오써밋(00034),용산구,55376,12.0,6.0,0.5852,37.527237,126.964573,18.68,32.1544,0.0323,0.0182,0.0027,0.398,59.2,52.2,51.9,30.4,6.7,10.0,59.2,보통,초미세먼지,0.299703662945763,0.24251845738160735,0.0024447521967025927,0.2996443955349156
102000164,용산역광장앞(00035),용산구,338647,12.0,6.0,0.5852,37.528333,126.965617,18.6811,32.1423,0.0322,0.0183,0.0027,0.3987,59.2,52.1,51.8,30.4,6.8,10.0,59.2,보통,초미세먼지,0.32344906604659474,0.2781365620328549,0.014950664496473975,0.3281388792559137
102000165,용산역사박물관.용산철도고등학교(00077),용산구,132474,11.5,5.75,0.5852,37.52559728,126.966015,18.6762,32.2359,0.0322,0.0182,0.0027,0.3975,59.2,52.2,51.8,30.4,6.7,9.9,59.2,보통,초미세먼지,0.30199979370018043,0.24971265351323355,0.005604804997981619,0.30489975244021655
102000166,용산역사박물관.용산철도고등학교(00033),용산구,31127,11.5,5.75,0.5852,37.525305,126.967123,18.6754,32.2729,0.0322,0.0182,0.0027,0.3975,59.2,52.3,51.8,30.4,6.7,9.9,59.2,보통,초미세먼지,0.2935043057467366,0.23696942158306777,0.001316943439257317,0.29470516689608395
102000167,용산세무서(00078),용산구,50655,11.5,5.75,0.5852,37.523735,126.969243,18.6737,32.3833,0.0321,0.0182,0.0027,0.397,59.2,52.4,51.8,30.3,6.7,9.9,59.2,보통,초미세먼지,0.29514125492880267,0.2394248453561669,0.0021431480680945613,0.2966695059145632
102000168,용산세무서(00032),용산구,47289,11.5,5.75,0.5852,37.52362139,126.9701544,18.6743,32.4156,0.0321,0.0182,0.0027,0.3971,59.2,52.4,51.8,30.3,6.7,9.9,59.2,보통,초미세먼지,0.29485909746532285,0.23900160916094712,0.0020007369261104274,0.2963309169583874
102000169,이촌역(00031),용산구,32886,11.5,5.75,0.5852,37.52266892,126.9739086,18.6791,32.5802,0.032,0.0182,0.0027,0.3971,59.2,52.6,51.7,30.3,6.7,9.9,59.2,보통,초미세먼지,0.2936517552352277,0.23719059581580443,0.0013913644727540765,0.29488210628227324
