표준버스정류장ID,역명,자치구,승차총승객수
100000365,동대문역.흥인지문(00037),종로구,1189634
120000045,쑥고개입구(00013),관악구,1184040
100000104,안국역6번출구.인사동문화의거리(00017),종로구,1179954
121000532,총신대입구역.남성사계시장입구앞(00005),서초구,1179767
123000049,잠실역.롯데월드(00009),송파구,1176585
108900177,수유역(00010),강북구,1175257
101000075,동대문역사문화공원(00036),중구,1172603
107000007,돈암사거리.성신여대입구(00022),성북구,1162863
111000088,새절역.숭실고입구(00011),은평구,1162108
101000114,남대문시장앞.이회영활동터(00038),중구,1161024
107000062,종암동주민센터(00023),성북구,1157331
113000135,연남동(00027),마포구,1157109
116900281,개봉역.림괄아파트(00001),구로구,1156768
100000019,경복궁역1번출구(00016),종로구,1156136
118000010,강남성심병원.대림성모병원(00053),영등포구,1144167
116000008,동양미래대학.구로성심병원(00011),구로구,1132890
112000016,이대후문(00027),서대문구,1132801
116000016,신도림역(00001),구로구,1128796
117000009,시흥사거리(00004),금천구,1127051
111001116,구파발역.롯데몰(00004),은평구,1126055
112000061,동교동삼거리연희동방면(00057),서대문구,1125065
111000025,구파발역2번출구(00006),은평구,1124832
118900067,당산역.지하철2호선(00019),영등포구,1123121
113000418,이대역(00029),마포구,1121239
106000006,중랑역.동부시장(00084),중랑구,1120508
119000055,성대시장(00031),동작구,1117720
112000012,연세대앞(00025),서대문구,1113910
119000286,총신대입구역.남성사계시장입구앞(00003),동작구,1112689
111000097,연서시장(00016),은평구,1109874
100000396,종로6가.동대문종합시장(00068),종로구,1104873
113000202,디지털미디어시티역2번출구(00009),마포구,1102822
117900140,가산디지털단지역(00001),금천구,1099021
107000064,숭례초교(00024),성북구,1086981
121000016,신사역(00015),서초구,1086094
124000062,천호역3번출구.현대백화점(00084),강동구,1082282
108000007,미아역.신일중고(00016),강북구,1077388
107000060,종암사거리입구(00022),성북구,1063375
119900126,노량진역(00026),동작구,1061374
100000125,혜화역3번출구.서울대병원입구(00025),종로구,1060609
100000124,혜화역2번출구.마로니에공원(00065),종로구,1058572
117000007,금천구청.금천경찰서(00006),금천구,1055212
105000030,서울성심병원(00054),동대문구,1048089
123000017,천호역.풍납시장(00025),송파구,1045144
113000420,신촌오거리.현대백화점(00027),마포구,1030193
114000184,신정역(은행정).신정4동주민센터(00074),양천구,1028900
123000009,가락시장.가락시장역(00005),송파구,1027348
107000147,삼선교.성북문화원(00006),성북구,1011177
101000005,서울역버스환승센터(00033),중구,1009680
109000015,쌍문역(00010),도봉구,1009321
121000003,양재역.서초문화예술회관(00040),서초구,1008815
100000362,영천시장(00048),종로구,1007864
116000002,신도림역(00014),구로구,1000403
108900041,수유역.강북구청(00028),강북구,1000293
116900240,개봉역(00001),구로구,999523
121001315,사당역(00003),서초구,997529
101000074,동대문역사문화공원(00039),중구,995667
118000006,영등포역(00040),영등포구,994519
123000044,잠실역7번출구(00014),송파구,993109
120000123,신대방역(00012),관악구,992431
116000052,구로4동우체국.고대구로병원정문(00019),구로구,988509
102000003,신용산역(00039),용산구,988468
