NODE_ID,정류소명,역명,자치구,버스노선수,CARALC_합계,avg_caralc,평균배차간격,승차총승객수,X좌표,Y좌표,노선목록
111000010,은평뉴타운10단지,은평뉴타운10단지(00003),은평구,10,148.0,14.8,7.4,209937.0,126.9138270919,37.6435943143,"N75, 8772, 7211, 761, 720, 741, 705, 703, N37, 571"
111000009,은평뉴타운10단지,은평뉴타운10단지(00017),은평구,10,148.0,14.8,7.4,37245.0,126.915165,37.642948,"8772, N37, 571, 705, 703, 761, 741, 7211, 720, N75"
120000005,서울대입구역5번출구,서울대입구역5번출구(00064),관악구,10,140.0,14.0,7.0,853562.0,126.951014176,37.4816281486,"461, 651, 643, 5413, 5530, 506, 6515, N75, N15, N61"
108000102,숭곡초등학교입구,숭곡초등학교입구(00023),강북구,10,117.0,11.7,5.85,319747.0,127.031828,37.610022,"103, 1124, 172, 1113, 100, 1137, 111, 강북11, 강북09, 120"
114000283,푸른마을1단지아파트,푸른마을1단지.이든채아파트(00004),양천구,10,142.0,14.2,7.1,273650.0,126.8353881275,37.5126531126,"6617, 602, 6714, 6514, N62, 6614, 662, 양천03"
119000060,동작구청.동작보건소건강관리청,동작문화복지센터.동작보건소(00016),동작구,10,154.0,15.4,7.7,358576.0,126.9417292605,37.5053297317,"동작13, 6019, 5517, 752, 753, 650, 641, 742, N64"
119000059,동작구청.동작보건소건강관리청,동작문화복지센터.동작보건소(00010),동작구,10,171.0,17.1,8.55,271485.0,126.94076,37.504993,"동작02, 동작11, 641, 6019, 650, 742, 753, N64, 5517"
115000117,우장산역4번출구,우장산역4번출구(00012),강서구,10,151.0,15.1,7.55,578489.0,126.8362284945,37.5497942598,"강서06, 6648, N64, 6629, 6630, 6642, 6657, 강서05, 661, 652"
115000116,우장산역1번출구,우장산역1번출구(00016),강서구,10,153.0,15.3,7.65,620784.0,126.8365028309,37.549241001,"652, 6657, 강서05, 강서06, 6645, 661, 6648, 6630, 6629, N64"
115000297,한국공항공사,한국공항공사(00005),강서구,10,112.0,11.2,5.6,29201.0,126.798872,37.562433,"6632, 601, 651, 6629, 605"
115000282,김포공항국제선,김포공항국제선(00004),강서구,10,112.0,11.2,5.6,165350.0,126.801112,37.56531,"6632, 601, 651, 6629, 605"
111000025,구파발역2번출구,구파발역2번출구(00006),은평구,10,112.0,11.2,5.6,1124832.0,126.9189889746,37.6367680033,"8772, 7211, 7723, 7722, 708, N37, 704, 7734, 720"
115000119,명덕고등학교.서울스타병원,명덕고등학교.서울스타병원(00011),강서구,10,151.0,15.1,7.55,400755.0,126.8363717464,37.5532912365,"강서06, 6648, N64, 6629, 6630, 6642, 6657, 강서05, 661, 652"
112000138,명지전문대.충암중고등학교,명지전문대.충암중고등학교(00018),서대문구,10,160.0,16.0,8.0,534833.0,126.923958,37.584668,"7019, 8774, 7018, 8773, 7734, 7021, 7611, 7017, N75"
105000126,장안2동주민센터,장안2동주민센터(00009),동대문구,10,107.0,10.7,5.35,429594.0,127.0704039846,37.5788403828,"동대문03, 2112, 2233, 2211, 2015, 2230, 2311, N72"
122000139,삼성역2번출구,삼성역(00025),강남구,10,113.0,11.3,5.65,270163.0,127.06441,37.507253,"343, 401, 4319, 2413, 3422, 143, 146, 8146, 4318, 350"
122000300,궁마을,궁마을(00005),강남구,10,128.0,12.8,6.4,114486.0,127.0976066393,37.4852808034,"강남03, 3413, 4425, 3426, 333, 361, 401, 402, N37, 461"
122000299,궁마을,궁마을(00015),강남구,10,128.0,12.8,6.4,94858.0,127.097328,37.485427,"N37, 361, 461, 401, 402, 3426, 333, 강남03, 4425, 3413"
100000103,창덕궁.우리소리박물관,창덕궁.우리소리박물관(00032),종로구,10,125.0,12.5,6.25,738787.0,126.988954,37.577272,"710, 7025, 601, 109, N51, 162, 272, 151, 171, 172"
100000076,창덕궁.우리소리박물관,창덕궁.우리소리박물관(00033),종로구,10,131.0,13.1,6.55,547311.0,126.9885394479,37.5775405746,"171, 8111, 162, 109, 172, 272, 151, 7025, 710, N51"
124000210,강일초등학교,강일초등학교(00010),강동구,10,111.0,11.1,5.55,183889.0,127.176868,37.565868,"340, 강동02, 342, 3212, 3323, 3413, 2312, 3318"
119000095,신대방동성당.보라매병원입구,보라매병원입구(00031),동작구,10,120.0,12.0,6.0,309501.0,126.927191,37.494757,"동작05, 8561, 6516, 6515, 6514, 5516, 152, N15, 504, 461"
119000094,신대방삼거리,신대방삼거리(00030),동작구,10,122.0,12.2,6.1,640328.0,126.928253,37.498328,"8561, 504, 5516, 동작05-1, 461, 6514, 6515, 152, 6516, N15"
116000047,남구로역3번출구,남구로역3번출구(00005),구로구,10,116.0,11.6,5.8,460118.0,126.886268,37.48418,"5618, 5619, 5615, 5630, 503, 5626, 5714, 5712, 571, 5616"
112000114,명지대삼거리,명지대삼거리(00017),서대문구,10,148.0,14.8,7.4,563958.0,126.926363438,37.5812704533,"7612, 7017, 7021, 7611, 7713, N75, 8773, 7734, 7019"
112000113,명지대삼거리,명지대삼거리(00016),서대문구,10,148.0,14.8,7.4,240316.0,126.926105,37.580957,"7019, 7612, 8773, 7713, 7734, 7021, 7611, 7017, N75"
112000112,명지대,명지대(00018),서대문구,10,148.0,14.8,7.4,965568.0,126.924292,37.579882,"7612, 7017, 7021, 7611, 7713, N75, 8773, 7734, 7019"
123000436,복정역환승주차장,복정역환승주차장(00042),송파구,10,137.0,13.7,6.85,1503.0,127.128144,37.470728,"3313, 3322, N13, 3217, 320, 360, 361, 350, N37, N73"
117000099,독산동정훈단지,독산동정훈단지(00009),금천구,10,118.0,11.8,5.9,802500.0,126.9030060331,37.464452239,"5621, 5525, 5619, 5413, 5620, 금천08, 507, 5627, 5633, 6516"
112000136,명지중고등학교,명지중고등학교(00017),서대문구,10,160.0,16.0,8.0,278622.0,126.925685,37.582933,"7019, 8774, 7018, 8773, 7734, 7021, 7611, 7017, N75"
112000135,명지중고등학교,명지중고등학교(00016),서대문구,10,160.0,16.0,8.0,393723.0,126.925698,37.58256,"7018, 7017, 7021, 7611, N75, 8773, 8774, 7734, 7019"
112000127,신촌기차역,신촌기차역(00023),서대문구,10,111.0,11.1,5.55,652387.0,126.94245,37.558777,"7024, 742, 674, 7017, 7713, 472, 163, 173, 171, 172"
114000065,오목교역.동신한방병원,오목교역.동신한방병원(00053),양천구,10,137.0,13.7,6.85,356159.0,126.876825,37.524447,"6625, 6628, 5616, 6629, 6630, 640, 5012, 650, 6211, N64"
114000123,신트리아파트,신트리아파트(00005),양천구,10,147.0,14.7,7.35,445709.0,126.854138,37.5129,"6511, 6411, 6640A, 6657, 6516, 6620, 6623, 6515, 6716, 6614"
114000167,목동역7번출구.진명여고,목동역7번출구.진명여고(00019),양천구,9,117.0,13.0,6.5,846903.0,126.8645744119,37.5245071942,"6614, 654, 6638, 6617, 6620, 6625, 6623, 603, 5012"
114000161,오목교역8번출구.대학빌딩,오목교역8번출구.대학빌딩(00012),양천구,9,129.0,14.333333333333334,7.166666666666667,301387.0,126.8728637695,37.524726482,"6211, 640, 6628, 650, 6633, 5012, N64, 6629, 6630"
114000156,남부법원.검찰청교차로,서울남부지방법원.서울남부지방검찰청(00015),양천구,9,122.0,13.555555555555555,6.777777777777778,213340.0,126.865547,37.52179,"6624, 6614, 654, 5630, 6648, 6638, 6620, 6625, 6623"
116000195,온수동종점,온수동종점(00001),구로구,9,126.0,14.0,7.0,307471.0,126.82122,37.491968,"600, 660, 6716, 6613, 6616, 160, N16"
116000636,디지털단지오거리.가산파출소,디지털단지오거리.가산파출소(00007),구로구,9,107.0,11.88888888888889,5.944444444444445,394115.0,126.888329,37.479826,"5618, N61, 643, 5528, 651, 5619, 5615, 5630, 5626"
104000082,NH농협은행자양로지점,광진구청(00016),광진구,9,107.0,11.88888888888889,5.944444444444445,354347.0,127.0831891894,37.5387627825,"광진03, 광진04, 3220, 2311, 2221, 422, 303, 3216, 320"
